id,displayTitle,title,system,intent,stage,format,source,url,summary,point1,point2,point3,useCase,evidence,tags,keywords,related,confidence
acs-ecg,ACS와 ECG,ACS + ECG,심혈관,감별정리,핵심,PDF,박용민 컨텐츠 정리본 PDF,https://drive.google.com/file/d/1xfPlC4hBOCJJtfLiDMn3_9XrshpEjdHd/view?usp=drivesdk,급성관상동맥증후군을 ECG 변화와 연결해서 볼 수 있는 자료입니다.,흉통 환자를 ACS 관점으로 분류할 때 유용합니다.,ECG 키워드로 같이 검색되도록 묶어두면 심근경색 자료와 연결성이 좋습니다.,영상에서 짧게 설명하고 자세한 판단 기준은 원본 PDF로 넘기기 좋은 자료입니다.,"흉통, ACS, ECG 판독 흐름을 한 번에 찾게 하고 싶을 때","본문에서 흉통 4단계 구조를 좁아짐, 터짐, 부분막힘, 완전막힘으로 정리하고 Stable angina, Unstable angina, NSTEMI, STEMI를 비교합니다.",ACS|ECG|STEMI|NSTEMI|협심증|심근경색|흉통|흉통 4단계|Troponin|ECG vector|심혈관|감별정리|핵심,흉통 4단계|Troponin|NSTEMI|STEMI|ECG vector,mi,파일 확인
mi,심근허혈 vs 심근경색,Myocardial ischemia and infarction,심혈관,개념이해,심화,PDF,박용민 컨텐츠 정리본 PDF,https://drive.google.com/file/d/1aTqToxtbH1B9Sqr00j2nQ4Lx21ed6r1v/view?usp=drivesdk,stable plaque와 unstable plaque의 차이에서 시작해 허혈과 경색이 왜 다르게 나타나는지 설명하는 자료입니다.,"허혈은 산소 공급이 수요보다 부족해지는 상태이며, 보통 휴식이나 NTG에 반응합니다.",경색은 plaque rupture와 혈전 형성으로 혈관이 막혀 심근 손상이 진행되는 상황입니다.,"자료에서는 ischemia는 ST depression, infarction은 ST elevation으로 연결해 ECG 원리를 설명합니다.","협심증과 심근경색 차이, ST 변화 원리, 흉통 환자 설명 자료가 필요할 때","본문에서 stable plaque와 vulnerable plaque, ischemia와 infarction, ST depression/elevation의 차이를 연결해 설명합니다.",MI|ischemia|infarction|ECG|ST elevation|ST depression|NTG|plaque|흉통|협심증|심근경색|ST 변화|plaque rupture|NTG 반응|심혈관|개념이해|심화,협심증|심근경색|ST 변화|plaque rupture|NTG 반응,acs-ecg,본문 확인
iicp,두개내압 상승 관리,IICP management,신경계,간호중재,핵심,PDF,박용민 컨텐츠 정리본 PDF,https://drive.google.com/file/d/1c0o7fDaGoYst9PbLAj83FG1zWXVH1cjq/view?usp=drivesdk,두개내압 상승 상황에서 관찰해야 할 변화와 관리 방향을 찾기 좋은 자료입니다.,신경계 환자 사정과 우선순위 간호를 연결하기 좋습니다.,"의식 변화, 활력징후, 체위, 자극 최소화 같은 검색어와 함께 노출되면 좋습니다.",신경계 질환 폴더 자료와 묶어 추천하면 체류 시간이 늘어납니다.,"IICP 간호중재, 신경계 중환자 사정, 케이스 스터디 보조",Drive에 IICP management PDF로 확인된 자료입니다. 신경계 사정과 두개내압 상승 관리 자료로 분류했습니다.,IICP|ICP|두개내압|신경계|뇌압|의식|간호중재|의식 변화|신경계 사정|중환자|핵심,두개내압|의식 변화|신경계 사정|중환자,gbs|als|ms,파일 확인
ast-alt-ratio,AST/ALT 수치 비교,AST:ALT 수치비교 해석,검사수치,검사해석,핵심,PDF,박용민 컨텐츠 정리본 PDF,https://drive.google.com/file/d/1JyQF5XsHs48UPl_GTM3SJpba5J1DDcMu/view?usp=drivesdk,AST와 ALT를 따로 외우는 대신 수치 비교와 해석 흐름으로 볼 수 있는 자료입니다.,검사수치 검색의 대표 입구로 두기 좋습니다.,"AST 단독, ALT 단독 자료와 상호 추천되도록 묶었습니다.",간호학과 학생들이 케이스 lab data 해석할 때 바로 찾을 가능성이 큽니다.,"lab 해석, 간수치 비교, 케이스 스터디 검사 결과 설명",본문에서 AST/ALT 비율을 단순 간수치 상승이 아니라 간세포와 미토콘드리아 중 어디서부터 손상됐는지 읽는 지표로 설명합니다.,AST|ALT|간수치|검사수치|liver|비교|AST/ALT ratio|미토콘드리아 손상|세포질 손상|검사해석|핵심,AST/ALT ratio|미토콘드리아 손상|세포질 손상|간수치,ast|alt,파일 확인
pneumothorax-cxr,기흉 CXR 읽기,pneumothorax에서의 CXR,호흡기,영상판독,기초,PDF,박용민 컨텐츠 정리본 PDF,https://drive.google.com/file/d/1Mx8exaX4IpWS7KvAR9EEvOSoLo3PFDYP/view?usp=drivesdk,기흉을 흉부 X-ray에서 어떻게 봐야 하는지 연결해 보여줄 수 있는 영상 보조 자료입니다.,CXR 검색 시 ACS/ECG와 별도로 흉부 영상 자료로 노출되게 구성했습니다.,기흉의 임상 증상과 영상 소견을 연결하는 카드형 설명에 적합합니다.,"학생들이 Chest PA/AP, CXR 같은 실무형 콘텐츠에서 같이 찾을 가능성이 큽니다.","기흉 영상 소견, 흉부 X-ray 기초 설명, 실습 전 빠른 확인",Drive에 pneumothorax에서의 CXR PDF로 확인된 자료입니다. 흉부 X-ray와 기흉 검색에 우선 노출되도록 분류했습니다.,pneumothorax|기흉|CXR|Chest X-ray|흉부|호흡곤란|흉부 영상|호흡기|영상판독|기초,기흉|CXR|Chest X-ray|흉부 영상,acs-ecg,파일 확인
gbs,길랭-바레 증후군 임상추론,GBS 임상추론 박용민,신경계,임상추론,심화,PDF,신경계 질환 폴더,https://drive.google.com/file/d/1qI6H7NXcWDEIq5Hq8eGJSyYGWozFN9jp/view?usp=drivesdk,GBS를 신경계 임상추론 콘텐츠로 연결하는 자료입니다.,"상행성 마비, 호흡근 침범, 신경계 감별 키워드와 잘 맞습니다.",콘텐츠 분석 문서에서 판단형 콘텐츠는 댓글 반응이 좋은 축으로 확인됐습니다.,학생들이 감별 포인트를 찾을 때 상세 PDF로 연결하기 좋습니다.,"GBS 감별, 신경계 응급 사정, 호흡근 약화 포인트",신경계 질환 폴더에서 GBS 임상추론 PDF로 확인된 자료입니다. 상행성 마비와 호흡근 침범 감별 키워드로 분류했습니다.,GBS|Guillain-Barre|길랭바레|신경계|상행성 마비|임상추론|호흡근|심화,GBS|길랭바레|상행성 마비|호흡근,mg|als|ms,파일 확인
mg,중증근무력증 임상추론,MG 임상추론 박용민,신경계,임상추론,심화,PDF,신경계 질환 폴더,https://drive.google.com/file/d/1H4nkqNIevngtKMr56ajvp8TWRzKSGbJu/view?usp=drivesdk,MG를 임상추론 방식으로 정리한 신경계 질환 자료입니다.,"근력저하, 피로, 호흡근 약화 같은 키워드와 연결되도록 설계했습니다.","GBS, ALS와 비교해 찾는 사용자를 고려해 신경계 묶음으로 배치했습니다.",간호학과 케이스에서 증상 변화와 우선순위 설명에 유용합니다.,"중증근무력증 감별, 신경근 질환 정리",신경계 질환 폴더에서 MG 임상추론 PDF로 확인된 자료입니다. 근력저하와 신경근 질환 감별로 분류했습니다.,MG|myasthenia gravis|중증근무력증|신경계|근력저하|임상추론|호흡근|심화,MG|중증근무력증|근력저하|호흡근,gbs|als|ms,파일 확인
als,ALS 임상추론,ALS 임상추론 박용민,신경계,임상추론,심화,PDF,신경계 질환 폴더,https://drive.google.com/file/d/1GanISYp5A5b3zPlj0fY37zjlJ3VGdH6r/view?usp=drivesdk,ALS를 신경계 임상추론 흐름으로 찾을 수 있는 자료입니다.,운동신경원 질환과 진행성 근력저하 키워드로 검색되게 구성했습니다.,"MS, MG, GBS와 비교 검색될 수 있게 신경계 카테고리에 묶었습니다.",긴 설명보다 원본 자료로 넘어가는 길을 분명하게 보여주는 카드가 좋습니다.,"ALS 개념 정리, 신경계 질환 비교, 임상추론 학습",신경계 질환 폴더에서 ALS 임상추론 PDF로 확인된 자료입니다. 운동신경원 질환과 진행성 근력저하로 분류했습니다.,ALS|amyotrophic lateral sclerosis|루게릭|신경계|운동신경원|임상추론|진행성 근력저하|심화,ALS|루게릭|운동신경원|진행성 근력저하,mg|gbs|ms,파일 확인
ms,다발성경화증 임상추론,MS 임상추론 박용민,신경계,임상추론,심화,PDF,신경계 질환 폴더,https://drive.google.com/file/d/16RhNgiR8NTJI8bTgxJYpi-pihKDqZahY/view?usp=drivesdk,MS를 신경계 임상추론 관점에서 찾을 수 있는 자료입니다.,"신경계 감별 학습에서 MG, GBS, ALS, PD 자료와 같이 추천하기 좋습니다.",질환명 약어로 검색해도 나오도록 태그를 넣었습니다.,학생들이 헷갈리는 신경계 질환 묶음의 한 축으로 쓰기 좋습니다.,"신경계 질환 감별, MS 케이스 정리, 임상추론 학습",신경계 질환 폴더에서 MS 임상추론 PDF로 확인된 자료입니다. 신경계 질환 감별 묶음에 포함했습니다.,MS|multiple sclerosis|다발성경화증|신경계|임상추론|신경계 감별|심화,MS|다발성경화증|신경계 감별,mg|gbs|als|pd,파일 확인
pd,파킨슨병 임상추론,PD 임상추론 박용민,신경계,임상추론,심화,PDF,신경계 질환 폴더,https://drive.google.com/file/d/1wW1zdJ06-cJzHl6b1PkdQWKzmntl58tg/view?usp=drivesdk,파킨슨병을 임상추론 관점에서 학습할 수 있는 자료입니다.,"떨림, 서동, 강직 등 운동증상 검색과 연결하기 좋습니다.",신경계 질환 폴더의 다른 임상추론 PDF와 함께 보여주면 좋습니다.,노인간호와 신경계 케이스 모두에서 찾을 수 있게 태그를 넓게 잡았습니다.,"파킨슨병 증상 이해, 신경계 케이스 스터디",신경계 질환 폴더에서 PD 임상추론 PDF로 확인된 자료입니다. 운동증상과 노인 신경계 케이스로 분류했습니다.,PD|Parkinson disease|파킨슨병|신경계|운동증상|임상추론|서동|강직|심화,PD|파킨슨병|운동증상|서동|강직,ms|mg|gbs,파일 확인
